question,intent,difficulty,domain,lang,original_index,practice_area,region,firm_name,eval_pass,eval_score,eval_reason,eval_timestamp,eval_raw
최근3년 동안 부울경 IT통신법무 변호사 총비용 평균은?,정보조회,보통,동래,KO,284,IT통신법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:09.946669,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2019-2023년 기준 부울경 IT통신법무 분야의 변호사인원를 알려줘요,정보조회,보통,동래,KO,285,IT통신법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:11.187524,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 환경법무 사건의 성공보수와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,286,환경법무,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:12.410965,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2024년 기준 부산연제구 환경법무 변호사 사건처리속도 평균은?,거래상담,보통,동래,KO,287,환경법무,부산연제구,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:13.666386,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
형사법무 관련 브랜드인지도와 절차를 울산 기준으로 설명해주세요,거래상담,보통,동래,KO,288,형사법무,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:15.045157,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 기업법무 사건의 변호사인원와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,289,기업법무,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:16.373213,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부울경 환경법무 전문 변호사 서비스품질 상담받고 싶어요,거래상담,보통,동래,KO,290,환경법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:17.607809,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
환경법무 관련 시간당비용 통계를 최근3년 기간으로 정리해주세요,정보조회,보통,동래,KO,291,환경법무,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:18.897787,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 착수금 통계를 2024년 기간으로 정리해주세요,정보조회,보통,동래,KO,292,소송및분쟁해결,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:20.148373,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
창원에서 지적재산권 전문 변호사의 성공보수와 부산법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,293,지적재산권,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:21.411948,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
최근5년 기준 부산 환경법무 분야의 성공보수를 알려줘요,정보조회,보통,동래,KO,294,환경법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:22.698842,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산연제구 환경법무 분야 전문성 현황을 최근3년 기준으로 알려줘요,정보조회,보통,동래,KO,295,환경법무,부산연제구,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:23.980664,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 시간당비용 통계를 최근5년 기간으로 정리해주세요,정보조회,보통,동래,KO,296,소송및분쟁해결,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:25.216081,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
조세법무 관련 전문성 통계를 팬데믹이후 기간으로 정리해주세요,정보조회,보통,동래,KO,297,조세법무,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:26.472170,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 해결율와 절차를 김해 기준으로 설명해주세요,거래상담,보통,동래,KO,298,소송및분쟁해결,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:27.739108,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
울산에서 소송및분쟁해결 전문 변호사의 변호사인원와 법무부통계 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,299,소송및분쟁해결,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:29.003713,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
김해에서 건설인프라법무 전문 변호사의 지원인력와 부산지법 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,300,건설인프라법무,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:30.237977,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
양산에서 환경법무 전문 변호사의 수임료와 부산변협 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,301,환경법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:31.492682,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2024년 동안 부산 건설인프라법무 변호사 시간당비용 평균은?,정보조회,보통,동래,KO,302,건설인프라법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:32.759686,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
김해 건설인프라법무 분야 총비용 현황을 2024년 기준으로 알려줘요,정보조회,보통,동래,KO,303,건설인프라법무,김해,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:33.994977,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
노동법무 관련 승소율 통계를 최근5년 기간으로 정리해주세요,정보조회,보통,동래,KO,304,노동법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:35.234832,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부울경 소송및분쟁해결 분야 시간당비용 현황을 최근3년 기준으로 알려줘요,정보조회,보통,동래,KO,305,소송및분쟁해결,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:36.548070,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부울경에서 IT통신법무 전문 변호사의 승소율와 부산지방법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,306,IT통신법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:37.807259,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
창원 IT통신법무 분야 파트너수 현황을 팬데믹이후 기준으로 알려줘요,정보조회,보통,동래,KO,307,IT통신법무,창원,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:39.045137,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
지적재산권 관련 시장점유율 통계를 최근3년 기간으로 정리해주세요,정보조회,보통,동래,KO,308,지적재산권,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:40.277419,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
울산에서 조세법무 전문 변호사의 해결율와 대법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,309,조세법무,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:41.525808,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
10년추세 기준 양산 의료헬스케어법무 변호사 시장점유율 평균은?,거래상담,보통,동래,KO,310,의료헬스케어법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:42.763985,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
경남 의료헬스케어법무 분야 사건처리속도 현황을 2024년 기준으로 알려줘요,정보조회,보통,동래,KO,311,의료헬스케어법무,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:44.312206,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
양산에서 부동산법무 전문 변호사의 전문인력와 부산지방법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,312,부동산법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:45.599616,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
지적재산권 관련 전문성 통계를 최근5년 기간으로 정리해주세요,정보조회,보통,동래,KO,313,지적재산권,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:46.989404,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
팬데믹이후 기준 부산 노동법무 변호사 시설규모 평균은?,거래상담,보통,동래,KO,314,노동법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:48.283561,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 노동법무 분야 고객대응품질 현황을 최근3년 기준으로 알려줘요,정보조회,보통,동래,KO,315,노동법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:49.525403,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2025년 기준 부산 금융법무 분야의 브랜드인지도를 알려줘요,정보조회,보통,동래,KO,316,금융법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:50.806342,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 개인정보보호 분야 지원인력 현황을 팬데믹이후 기준으로 알려줘요,정보조회,보통,동래,KO,317,개인정보보호,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:52.064653,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2025년 동안 부산 소송및분쟁해결 변호사 고객만족도 평균은?,정보조회,보통,동래,KO,318,소송및분쟁해결,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:53.314939,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 법적정확성 통계를 최근3년 기간으로 정리해주세요,정보조회,보통,동래,KO,319,소송및분쟁해결,울산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:54.584294,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2025년 동안 부산 건설인프라법무 변호사 시장점유율 평균은?,정보조회,보통,동래,KO,320,건설인프라법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:55.836281,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
양산에서 부동산법무 전문 변호사의 착수금와 부산법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,321,부동산법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:57.076951,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 사건처리속도와 절차를 경남 기준으로 설명해주세요,거래상담,보통,동래,KO,322,소송및분쟁해결,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:58.335674,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
법무법인 동래에서 소송및분쟁해결 사건의 고객대응품질와 서비스 내용을 상담받고 싶습니다,거래상담,보통,동래,KO,323,소송및분쟁해결,부산연제구,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:14:59.560473,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
2024년 기준 경남 계약법무 변호사 총비용 평균은?,거래상담,보통,동래,KO,324,계약법무,경남,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:00.799770,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
최근3년 기준 부울경 IT통신법무 변호사 수임료 평균은?,거래상담,보통,동래,KO,325,IT통신법무,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:02.135454,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산에서 부동산법무 전문 변호사의 성공보수와 부산지방법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,326,부동산법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:03.465511,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
양산에서 부동산법무 전문 변호사의 고객대응품질와 법률신문 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,327,부동산법무,양산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:04.740487,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 개인정보보호 변호사 변호사인원가 보통 얼마인가요?,정보조회,쉬움,동래,KO,328,개인정보보호,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:06.020044,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
금융법무 관련 승소율 통계를 최근5년 기간으로 정리해주세요,정보조회,보통,동래,KO,329,금융법무,부산해운대,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:07.264433,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산에서 금융법무 전문 변호사의 시장점유율와 법무부통계 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,330,금융법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:08.517185,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 금융법무 분야 총비용 현황을 최근5년 기준으로 알려줘요,정보조회,보통,동래,KO,331,금융법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:09.754942,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
최근5년 동안 부산 조세법무 변호사 성공보수 평균은?,정보조회,보통,동래,KO,332,조세법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:11.029425,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산 계약법무 분야 지원인력 현황을 최근3년 기준으로 알려줘요,정보조회,보통,동래,KO,333,계약법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:12.303950,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 고객만족도와 절차를 부산 기준으로 설명해주세요,거래상담,보통,동래,KO,334,소송및분쟁해결,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:13.535124,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
소송및분쟁해결 관련 시설규모 통계를 팬데믹이후 기간으로 정리해주세요,정보조회,보통,동래,KO,335,소송및분쟁해결,부울경,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:14.849316,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산에서 계약법무 전문 변호사의 시장점유율와 법률신문 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,336,계약법무,부산,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:16.115383,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
부산서면에서 지적재산권 전문 변호사의 고객대응품질와 부산법원 정보를 종합해서 설명해주세요,정보조회,보통,동래,KO,337,지적재산권,부산서면,법무법인 동래,False,0.0,"[""API_ERROR""]",2025-07-02T17:15:17.362660,"{""pass"": false, ""score"": 0.0, ""reason"": [""API_ERROR""], ""error"": ""Error code: 401 - {'error': {'message': 'Incorrect API key provided: OPENAI_A**_KEY. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'param': None, 'code': 'invalid_api_key'}}""}"
